מקט,ספק, RGB, HEX,תיאור
2570-Y50R,NCS,,#c96922,
2570-Y60R,NCS,,#c95920,
2570-Y70R,NCS,,#c94a1e,
2570-Y80R,NCS,,#c93a1c,
2570-Y90R,NCS,,#c92b20,
3000-N,NCS,,#b2b2b2,
3005-B20G,NCS,,#adb9bc,
3005-B80G,NCS,,#acbcb8,
3005-G20Y,NCS,,#b1bcad,
3005-G50Y,NCS,,#b8bcac,
3005-G80Y,NCS,,#bcbbae,
3005-R20B,NCS,,#bca6aa,
3005-R50B,NCS,,#bcacb9,
3005-R80B,NCS,,#a5aabc,
3005-Y20R,NCS,,#bcb6ab,
3005-Y50R,NCS,,#bcb1a9,
3005-Y80R,NCS,,#bca9a5,
3010-B,NCS,,#9cb0bc,
3010-B10G,NCS,,#9db4bc,
3010-B30G,NCS,,#a0b9bc,
3010-B50G,NCS,,#a0bcbb,
3010-B70G,NCS,,#9fbcb7,
3010-B90G,NCS,,#9abcad,
3010-G,NCS,,#97bca5,
3010-G10Y,NCS,,#a1bca2,
3010-G20Y,NCS,,#a8bca0,
3010-G30Y,NCS,,#adbc9e,
3010-G40Y,NCS,,#b1bc9c,
3010-G50Y,NCS,,#b5bc9e,
3010-G60Y,NCS,,#b8bc9f,
3010-G70Y,NCS,,#babca0,
3010-G80Y,NCS,,#bcbba0,
3010-G90Y,NCS,,#bcb9a0,
3010-R,NCS,,#bc8f92,
3010-R10B,NCS,,#bc9096,
3010-R20B,NCS,,#bc939b,
3010-R30B,NCS,,#bc96a2,
3010-R40B,NCS,,#bc99aa,
3010-R50B,NCS,,#bc9eb6,
3010-R60B,NCS,,#b29cbc,
3010-R70B,NCS,,#a79cbc,
3010-R80B,NCS,,#929abc,
3010-R90B,NCS,,#96a2bc,
3010-Y,NCS,,#bcb79f,
3010-Y10R,NCS,,#bcb59e,
3010-Y20R,NCS,,#bcb29c,
3010-Y30R,NCS,,#bcae9b,
3010-Y40R,NCS,,#bcab9a,
3010-Y50R,NCS,,#bca798,
3010-Y60R,NCS,,#bca396,
3010-Y70R,NCS,,#bc9e94,
3010-Y80R,NCS,,#bc9992,
3010-Y90R,NCS,,#bc9491,
3020-B,NCS,,#80a5bc,
3020-B10G,NCS,,#83adbc,
3020-B30G,NCS,,#86b7bc,
3020-B40G,NCS,,#88babc,
3020-B50G,NCS,,#88bcba,
3020-B60G,NCS,,#86bcb7,
3020-B70G,NCS,,#85bcb3,
3020-B90G,NCS,,#7ebca0,
3020-G,NCS,,#7abc93,
3020-G10Y,NCS,,#8bbc8d,
3020-G20Y,NCS,,#97bc88,
3020-G30Y,NCS,,#a1bc84,
3020-G40Y,NCS,,#a8bc81,
3020-G50Y,NCS,,#afbc84,
3020-G60Y,NCS,,#b4bc86,
3020-G70Y,NCS,,#b9bc87,
3020-G80Y,NCS,,#bcba88,
3020-G90Y,NCS,,#bcb686,
3020-R,NCS,,#bc6e73,
3020-R10B,NCS,,#bc7079,
3020-R20B,NCS,,#bc7382,
3020-R30B,NCS,,#bc778d,
3020-R40B,NCS,,#bc7d9c,
3020-R50B,NCS,,#bc84b1,
3020-R60B,NCS,,#a982bc,
3020-R70B,NCS,,#9682bc,
3020-R80B,NCS,,#7380bc,
3020-R90B,NCS,,#788ebc,
3020-Y,NCS,,#bcb385,
3020-Y10R,NCS,,#bcae83,
3020-Y20R,NCS,,#bca982,
3020-Y30R,NCS,,#bca37f,
3020-Y40R,NCS,,#bc9d7d,
3020-Y50R,NCS,,#bc967b,
3020-Y60R,NCS,,#bc8f78,
3020-Y70R,NCS,,#bc8775,
3020-Y80R,NCS,,#bc7f72,
3020-Y90R,NCS,,#bc7772,
3030-B,NCS,,#689cbc,
3030-B10G,NCS,,#6ca7bc,
3030-B30G,NCS,,#70b4bc,
3030-B40G,NCS,,#71b9bc,
3030-B50G,NCS,,#71bcb9,
3030-B60G,NCS,,#70bcb5,
3030-B70G,NCS,,#6ebcb0,
3030-B90G,NCS,,#66bc95,
3030-G,NCS,,#61bc84,
3030-G10Y,NCS,,#78bc7b,
3030-G20Y,NCS,,#89bc74,
3030-G30Y,NCS,,#96bc6e,
3030-G40Y,NCS,,#a0bc6a,
3030-G50Y,NCS,,#a9bc6c,
3030-G60Y,NCS,,#b1bc6f,
3030-G70Y,NCS,,#b8bc71,
3030-G80Y,NCS,,#bcb971,
3030-G90Y,NCS,,#bcb470,
3030-R,NCS,,#bc555b,
3030-R10B,NCS,,#bc5763,
3030-R20B,NCS,,#bc5a6e,
3030-R30B,NCS,,#bc5f7c,
3030-R40B,NCS,,#bc6590,
3030-R50B,NCS,,#bc6dad,
3030-R60B,NCS,,#a26abc,
3030-R70B,NCS,,#876bbc,
3030-R80B,NCS,,#5a6cbc,
3030-R90B,NCS,,#5f7ebc,
3030-Y,NCS,,#bcb06e,
3030-Y10R,NCS,,#bca96c,
3030-Y20R,NCS,,#bca16a,
3030-Y30R,NCS,,#bc9a68,
3030-Y40R,NCS,,#bc9165,
3030-Y50R,NCS,,#bc8862,
3030-Y60R,NCS,,#bc7f5f,
3030-Y70R,NCS,,#bc755c,
3030-Y80R,NCS,,#bc6a59,
3030-Y90R,NCS,,#bc6059,
3040-B,NCS,,#5495bc,
3040-B10G,NCS,,#57a2bc,
3040-B20G,NCS,,#59abbc,
3040-B30G,NCS,,#5bb3bc,
3040-B40G,NCS,,#5db9bc,
3040-B50G,NCS,,#5dbcb8,
3040-B60G,NCS,,#5bbcb3,
3040-B70G,NCS,,#5abcad,
3040-B80G,NCS,,#58bca5,
3040-B90G,NCS,,#52bc8c,
3040-G,NCS,,#4dbc78,
3040-G10Y,NCS,,#68bc6c,
3040-G20Y,NCS,,#7dbc63,
3040-G30Y,NCS,,#8cbc5b,
3040-G40Y,NCS,,#99bc55,
3040-G50Y,NCS,,#a5bc58,
3040-G60Y,NCS,,#aebc5a,
3040-G70Y,NCS,,#b7bc5c,
3040-G80Y,NCS,,#bcb95d,
3040-G90Y,NCS,,#bcb25b,
3040-R,NCS,,#bc4149,
3040-R10B,NCS,,#bc4352,
3040-R20B,NCS,,#bc465e,
3040-R30B,NCS,,#bc4a6e,
3040-R40B,NCS,,#bc5086,
3040-R50B,NCS,,#bc59a9,
3040-R60B,NCS,,#9b55bc,
3040-R70B,NCS,,#7b58bc,
3040-R80B,NCS,,#455bbc,
3040-R90B,NCS,,#4b70bc,
3040-Y,NCS,,#bcad5a,
3040-Y10R,NCS,,#bca458,
3040-Y20R,NCS,,#bc9b55,
3040-Y30R,NCS,,#bc9153,
3040-Y40R,NCS,,#bc8750,
3040-Y50R,NCS,,#bc7c4e,
3040-Y60R,NCS,,#bc714b,
3040-Y70R,NCS,,#bc6648,
3040-Y80R,NCS,,#bc5a45,
3040-Y90R,NCS,,#bc4d46,
3050-B,NCS,,#428ebc,
3050-B10G,NCS,,#459dbc,
3050-B20G,NCS,,#47a8bc,
3050-B30G,NCS,,#49b1bc,
3050-B40G,NCS,,#4ab8bc,
3050-B50G,NCS,,#4abcb8,
3050-B60G,NCS,,#49bcb1,
3050-B70G,NCS,,#47bcaa,
3050-B80G,NCS,,#45bca1,
3050-B90G,NCS,,#40bc84,
3050-G,NCS,,#3bbc6d,
3050-G10Y,NCS,,#5bbc5f,
3050-G20Y,NCS,,#72bc54,
3050-G30Y,NCS,,#84bc4a,
3050-G40Y,NCS,,#93bc43,
3050-G50Y,NCS,,#a0bc45,
3050-G60Y,NCS,,#abbc47,
3050-G70Y,NCS,,#b6bc4a,
3050-G80Y,NCS,,#bcb84a,
3050-G90Y,NCS,,#bcb048,
3050-R,NCS,,#bc313a,
3050-R10B,NCS,,#bc3343,
3050-R20B,NCS,,#bc3550,
3050-R30B,NCS,,#bc3963,
3050-R40B,NCS,,#bc3e7d,
3050-R50B,NCS,,#bc46a5,
3050-R60B,NCS,,#9543bc,
3050-R70B,NCS,,#7048bc,
3050-R80B,NCS,,#354ebc,
3050-R90B,NCS,,#3964bc,
3050-Y,NCS,,#bcaa47,
3050-Y10R,NCS,,#bca045,
3050-Y20R,NCS,,#bc9543,
3050-Y30R,NCS,,#bc8a41,
3050-Y40R,NCS,,#bc7e3e,
3050-Y50R,NCS,,#bc723c,
3050-Y60R,NCS,,#bc663a,
3050-Y70R,NCS,,#bc5937,
3050-Y80R,NCS,,#bc4c34,
3050-Y90R,NCS,,#bc3f36,
3055-B50G,NCS,,#41bcb7,
3055-R30B,NCS,,#bc315d,
3055-R40B,NCS,,#bc3679,
3055-R50B,NCS,,#bc3ea3,
3060-B,NCS,,#3188bc,
3060-B10G,NCS,,#3499bc,
3060-B20G,NCS,,#36a5bc,
3060-B30G,NCS,,#37afbc,
3060-B40G,NCS,,#39b8bc,
3060-B70G,NCS,,#36bca8,
3060-B90G,NCS,,#30bc7d,
3060-G,NCS,,#2cbc64,
3060-G10Y,NCS,,#4fbc53,
3060-G20Y,NCS,,#68bc46,
3060-G30Y,NCS,,#7dbc3b,
3060-G40Y,NCS,,#8ebc33,
3060-G50Y,NCS,,#9cbc35,
3060-G60Y,NCS,,#a9bc36,
3060-G70Y,NCS,,#b5bc38,
3060-G80Y,NCS,,#bcb739,
3060-G90Y,NCS,,#bcaf37,
3060-R,NCS,,#bc232d,
3060-R10B,NCS,,#bc2537,
3060-R20B,NCS,,#bc2745,
3060-R70B,NCS,,#673abc,
3060-R80B,NCS,,#2742bc,
3060-R90B,NCS,,#2a5abc,
3060-Y,NCS,,#bca836,
3060-Y10R,NCS,,#bc9c34,
3060-Y20R,NCS,,#bc9033,
3060-Y30R,NCS,,#bc8331,
3060-Y40R,NCS,,#bc772f,
3060-Y50R,NCS,,#bc692d,
3060-Y60R,NCS,,#bc5c2b,
3060-Y70R,NCS,,#bc4e29,
3060-Y80R,NCS,,#bc4026,
3060-Y90R,NCS,,#bc3229,
3065-G10Y,NCS,,#49bc4e,
3065-G40Y,NCS,,#8bbc2b,
3065-G50Y,NCS,,#9bbc2d,
3065-G60Y,NCS,,#a8bc2f,
3065-R90B,NCS,,#2456bc,
3065-Y20R,NCS,,#bc8d2b,
3500-N,NCS,,#a5a5a5,
3502-B,NCS,,#a8acae,
3502-G,NCS,,#a7aeaa,
3502-R,NCS,,#aea5a5,
3502-Y,NCS,,#aeada9,
3555-B60G,NCS,,#3baea4,
3555-B80G,NCS,,#39ae94,
3555-R60B,NCS,,#8836ae,
3560-G,NCS,,#29ae5d,
3560-G10Y,NCS,,#49ae4d,
3560-G20Y,NCS,,#61ae41,
3560-G30Y,NCS,,#74ae37,
3560-G40Y,NCS,,#84ae2f,
3560-G50Y,NCS,,#91ae31,
3560-G60Y,NCS,,#9dae33,
3560-G70Y,NCS,,#a8ae34,
3560-R,NCS,,#ae212a,
3560-R80B,NCS,,#243dae,
3560-R90B,NCS,,#2754ae,
3560-Y,NCS,,#ae9c32,
3560-Y20R,NCS,,#ae852f,
3560-Y30R,NCS,,#ae7a2d,
3560-Y40R,NCS,,#ae6e2b,
3560-Y50R,NCS,,#ae622a,
3560-Y60R,NCS,,#ae5528,
3560-Y70R,NCS,,#ae4926,
3560-Y80R,NCS,,#ae3c24,
3560-Y90R,NCS,,#ae2f26,
4000-N,NCS,,#999999,
4005-B20G,NCS,,#949fa1,
4005-B80G,NCS,,#94a19e,
4005-G20Y,NCS,,#98a194,
4005-G50Y,NCS,,#9ea194,
4005-G80Y,NCS,,#a1a095,
4005-R20B,NCS,,#a18e92,
4005-R50B,NCS,,#a1949e,
4005-R80B,NCS,,#8e91a1,
4005-Y20R,NCS,,#a19c93,
4005-Y50R,NCS,,#a19891,
4005-Y80R,NCS,,#a1918e,
4010-B10G,NCS,,#879aa1,
4010-B30G,NCS,,#899fa1,
4010-B50G,NCS,,#89a1a0,
4010-B70G,NCS,,#88a19d,
4010-B90G,NCS,,#84a194,
4010-G10Y,NCS,,#8aa18b,
4010-G30Y,NCS,,#94a187,
4010-G50Y,NCS,,#9ba187,
4010-G70Y,NCS,,#a0a189,
4010-G90Y,NCS,,#a19e89,
4010-R10B,NCS,,#a17c80,
4010-R30B,NCS,,#a1808b,
4010-R50B,NCS,,#a1889c,
4010-R70B,NCS,,#8f86a1,
4010-R90B,NCS,,#808ba1,
4010-Y10R,NCS,,#a19b87,
4010-Y30R,NCS,,#a19585,
4010-Y50R,NCS,,#a18f82,
4010-Y70R,NCS,,#a1887f,
4010-Y90R,NCS,,#a17f7d,
4020-B,NCS,,#6e8ea1,
4020-B10G,NCS,,#7094a1,
4020-B30G,NCS,,#739da1,
4020-B50G,NCS,,#74a19f,
4020-B70G,NCS,,#72a19a,
4020-B90G,NCS,,#6ca189,
4020-G,NCS,,#68a17e,
4020-G10Y,NCS,,#77a179,
4020-G30Y,NCS,,#8aa171,
4020-G50Y,NCS,,#96a171,
4020-G70Y,NCS,,#9fa174,
4020-G90Y,NCS,,#a19c73,
4020-R,NCS,,#a15e62,
4020-R10B,NCS,,#a16068,
4020-R20B,NCS,,#a1636f,
4020-R30B,NCS,,#a16679,
4020-R40B,NCS,,#a16b86,
4020-R50B,NCS,,#a17298,
4020-R60B,NCS,,#916fa1,
4020-R70B,NCS,,#806fa1,
4020-R80B,NCS,,#626ea1,
4020-R90B,NCS,,#677aa1,
4020-Y,NCS,,#a19a72,
4020-Y10R,NCS,,#a19571,
4020-Y20R,NCS,,#a1916f,
4020-Y30R,NCS,,#a18c6d,
4020-Y40R,NCS,,#a1876b,
4020-Y50R,NCS,,#a18169,
4020-Y60R,NCS,,#a17b67,
4020-Y70R,NCS,,#a17464,
4020-Y80R,NCS,,#a16d62,
4020-Y90R,NCS,,#a16662,
4030-B,NCS,,#5a86a1,
4030-B10G,NCS,,#5c8fa1,
4030-B30G,NCS,,#609ba1,
4030-B50G,NCS,,#61a19f,
4030-B70G,NCS,,#5fa197,
4030-B90G,NCS,,#58a180,
4030-G,NCS,,#53a171,
4030-G10Y,NCS,,#67a16a,
4030-G30Y,NCS,,#80a15f,
4030-G50Y,NCS,,#91a15d,
4030-G70Y,NCS,,#9ea161,
4030-G90Y,NCS,,#a19a60,
4030-R,NCS,,#a1494e,
4030-R10B,NCS,,#a14b55,
4030-R20B,NCS,,#a14d5e,
4030-R30B,NCS,,#a1516b,
4030-R40B,NCS,,#a1567c,
4030-R50B,NCS,,#a15e94,
4030-R60B,NCS,,#8b5ba1,
4030-R70B,NCS,,#745ca1,
4030-R80B,NCS,,#4d5ca1,
4030-R90B,NCS,,#516ca1,
4030-Y,NCS,,#a1975f,
4030-Y10R,NCS,,#a1915d,
4030-Y20R,NCS,,#a18a5b,
4030-Y30R,NCS,,#a18459,
4030-Y40R,NCS,,#a17c57,
4030-Y50R,NCS,,#a17554,
4030-Y60R,NCS,,#a16d52,
4030-Y70R,NCS,,#a1644f,
4030-Y80R,NCS,,#a15b4c,
4030-Y90R,NCS,,#a1524d,
4040-B,NCS,,#487fa1,
4040-B10G,NCS,,#4b8ba1,
4040-B20G,NCS,,#4d93a1,
4040-B30G,NCS,,#4e99a1,
4040-B40G,NCS,,#509ea1,
4040-B50G,NCS,,#4fa19e,
4040-B60G,NCS,,#4ea199,
4040-B70G,NCS,,#4da194,
4040-B80G,NCS,,#4ba18e,
4040-B90G,NCS,,#46a178,
4040-G,NCS,,#42a167,
4040-G10Y,NCS,,#59a15d,
4040-G20Y,NCS,,#6ba155,
4040-G30Y,NCS,,#78a14e,
4040-G40Y,NCS,,#83a149,
4040-G50Y,NCS,,#8da14b,
4040-G60Y,NCS,,#95a14d,
4040-G70Y,NCS,,#9da14f,
4040-G80Y,NCS,,#a19e50,
4040-G90Y,NCS,,#a1994e,
4040-R,NCS,,#a1383e,
4040-R10B,NCS,,#a13946,
4040-R20B,NCS,,#a13c50,
4040-R30B,NCS,,#a1405f,
4040-R40B,NCS,,#a14573,
4040-R50B,NCS,,#a14c91,
4040-R60B,NCS,,#8549a1,
4040-R70B,NCS,,#694ca1,
4040-R80B,NCS,,#3b4ea1,
4040-R90B,NCS,,#4060a1,
4040-Y,NCS,,#a1944d,
4040-Y10R,NCS,,#a18d4b,
4040-Y20R,NCS,,#a18549,
4040-Y30R,NCS,,#a17c47,
4040-Y40R,NCS,,#a17445,
4040-Y50R,NCS,,#a16b43,
4040-Y60R,NCS,,#a16140,
4040-Y70R,NCS,,#a1573e,
4040-Y80R,NCS,,#a14d3b,
4040-Y90R,NCS,,#a1423c,
4050-B,NCS,,#387aa1,
4050-B10G,NCS,,#3b87a1,
4050-B20G,NCS,,#3d90a1,
4050-B30G,NCS,,#3e98a1,
4050-B40G,NCS,,#3f9ea1,
4050-B50G,NCS,,#3fa19e,
4050-B60G,NCS,,#3ea198,
4050-B70G,NCS,,#3da192,
4050-B80G,NCS,,#3ca18a,
4050-B90G,NCS,,#36a171,
4050-G,NCS,,#33a15d,
4050-G10Y,NCS,,#4ea151,
4050-G20Y,NCS,,#62a148,
4050-G30Y,NCS,,#71a140,
4050-G40Y,NCS,,#7ea139,
4050-G50Y,NCS,,#89a13b,
4050-G60Y,NCS,,#93a13d,
4050-G70Y,NCS,,#9ca13f,
4050-G80Y,NCS,,#a19e3f,
4050-G90Y,NCS,,#a1973e,
4050-R,NCS,,#a12a31,
4050-R10B,NCS,,#a12b3a,
4050-R20B,NCS,,#a12e45,
4050-R30B,NCS,,#a13154,
4050-R40B,NCS,,#a1356b,
4050-R50B,NCS,,#a13c8e,
4050-R60B,NCS,,#8039a1,
4050-R70B,NCS,,#603ea1,
4050-R80B,NCS,,#2d42a1,
4050-R90B,NCS,,#3156a1,
4050-Y,NCS,,#a1923d,
4050-Y10R,NCS,,#a1893b,
4050-Y20R,NCS,,#a18039,
4050-Y30R,NCS,,#a17637,
4050-Y40R,NCS,,#a16c36,
4050-Y50R,NCS,,#a16233,
4050-Y60R,NCS,,#a15731,
4050-Y70R,NCS,,#a14c2f,
4050-Y80R,NCS,,#a1412d,
4050-Y90R,NCS,,#a1362e,
4055-B,NCS,,#3177a1,
4055-B40G,NCS,,#389ea1,
4055-R70B,NCS,,#5c37a1,
4055-R95B,NCS,,#2d5fa1,
4055-Y10R,NCS,,#a18734,
4500-N,NCS,,#8c8c8c,
4502-B,NCS,,#8e9193,
4502-G,NCS,,#8d9390,
4502-R,NCS,,#938b8c,
4502-Y,NCS,,#93938f,
4550-B,NCS,,#336f93,
4550-B20G,NCS,,#388493,
4550-B30G,NCS,,#398b93,
4550-B40G,NCS,,#3a9193,
4550-B50G,NCS,,#3a9390,
4550-B80G,NCS,,#37937f,
4550-B90G,NCS,,#329368,
4550-G,NCS,,#2e9356,
4550-G10Y,NCS,,#47934b,
4550-G20Y,NCS,,#599342,
4550-G30Y,NCS,,#68933a,
4550-G40Y,NCS,,#749335,
4550-G50Y,NCS,,#7e9336,
4550-G60Y,NCS,,#879338,
4550-G70Y,NCS,,#8f933a,
4550-R70B,NCS,,#583993,
4550-R80B,NCS,,#293d93,
4550-R90B,NCS,,#2d4f93,
4550-Y,NCS,,#938638,
4550-Y30R,NCS,,#936c33,
4550-Y40R,NCS,,#936331,
4550-Y50R,NCS,,#935a2f,
4550-Y60R,NCS,,#93502d,
4550-Y70R,NCS,,#93462b,
4550-Y80R,NCS,,#933b29,
4550-Y90R,NCS,,#93312a,
5000-N,NCS,,#7f7f7f,
5005-B20G,NCS,,#7b8486,
5005-B80G,NCS,,#7b8684,
5005-G20Y,NCS,,#7f867c,
5005-G50Y,NCS,,#83867b,
5005-G80Y,NCS,,#86867c,
5005-R20B,NCS,,#86767a,
5005-R50B,NCS,,#867b84,
5005-R80B,NCS,,#767986,
5005-Y20R,NCS,,#86827a,
5005-Y50R,NCS,,#867e79,
5005-Y80R,NCS,,#867976,
5010-B10G,NCS,,#708186,
5010-B30G,NCS,,#728486,
5010-B50G,NCS,,#738685,
5010-B70G,NCS,,#718683,
5010-B90G,NCS,,#6e867b,
5010-G10Y,NCS,,#738674,
5010-G30Y,NCS,,#7c8671,
5010-G50Y,NCS,,#818671,
5010-G70Y,NCS,,#858672,
5010-G90Y,NCS,,#868472,
5010-R10B,NCS,,#86676b,
5010-R30B,NCS,,#866b74,
5010-R50B,NCS,,#867182,
5010-R70B,NCS,,#776f86,
5010-R90B,NCS,,#6b7486,
5010-Y10R,NCS,,#868171,
5010-Y30R,NCS,,#867d6f,
5010-Y50R,NCS,,#86776d,
5010-Y70R,NCS,,#86716a,
5010-Y90R,NCS,,#866a68,
5020-B,NCS,,#5c7686,
5020-B10G,NCS,,#5e7c86,
5020-B30G,NCS,,#608286,
5020-B50G,NCS,,#618685,
5020-B70G,NCS,,#5f8680,
5020-B90G,NCS,,#5a8672,
5020-G,NCS,,#578669,
5020-G10Y,NCS,,#638665,
5020-G30Y,NCS,,#73865f,
5020-G50Y,NCS,,#7d865e,
5020-G70Y,NCS,,#848661,
5020-G90Y,NCS,,#868260,
5020-R,NCS,,#864e52,
5020-R10B,NCS,,#865057,
5020-R20B,NCS,,#86525d,
5020-R30B,NCS,,#865565,
5020-R40B,NCS,,#865970,
5020-R50B,NCS,,#865f7e,
5020-R60B,NCS,,#795d86,
5020-R70B,NCS,,#6b5d86,
5020-R80B,NCS,,#525b86,
5020-R90B,NCS,,#556586,
5020-Y,NCS,,#86805f,
5020-Y10R,NCS,,#867d5e,
5020-Y20R,NCS,,#86795c,
5020-Y30R,NCS,,#86755b,
5020-Y40R,NCS,,#867059,
5020-Y50R,NCS,,#866b58,
5020-Y60R,NCS,,#866656,
5020-Y70R,NCS,,#866154,
5020-Y80R,NCS,,#865b52,
5020-Y90R,NCS,,#865551,
5030-B,NCS,,#4b7086,
5030-B10G,NCS,,#4d7786,
5030-B30G,NCS,,#508186,
5030-B50G,NCS,,#518684,
5030-B70G,NCS,,#4f867e,
5030-B90G,NCS,,#49866b,
5030-G,NCS,,#45865f,
5030-G10Y,NCS,,#568658,
5030-G30Y,NCS,,#6b864f,
5030-G50Y,NCS,,#79864d,
5030-G70Y,NCS,,#838651,
5030-G90Y,NCS,,#868150,
5030-R,NCS,,#863c41,
5030-R10B,NCS,,#863e47,
5030-R20B,NCS,,#86404e,
5030-R30B,NCS,,#864459,
5030-R40B,NCS,,#864867,
5030-R50B,NCS,,#864e7b,
5030-R60B,NCS,,#734c86,
5030-R70B,NCS,,#614d86,
5030-R80B,NCS,,#404d86,
5030-R90B,NCS,,#445a86,
5030-Y,NCS,,#867e4f,
5030-Y10R,NCS,,#86794d,
5030-Y20R,NCS,,#86734c,
5030-Y30R,NCS,,#866e4a,
5030-Y40R,NCS,,#866848,
5030-Y50R,NCS,,#866146,
5030-Y60R,NCS,,#865b44,
5030-Y70R,NCS,,#865342,
5030-Y80R,NCS,,#864c40,
5030-Y90R,NCS,,#864440,
5040-B,NCS,,#3c6a86,
5040-B10G,NCS,,#3e7486,
5040-B20G,NCS,,#407a86,
5040-B30G,NCS,,#418086,
5040-B40G,NCS,,#428486,
5040-B50G,NCS,,#428684,
5040-B60G,NCS,,#418680,
5040-B70G,NCS,,#40867c,
5040-B80G,NCS,,#3f8676,
5040-B90G,NCS,,#3a8664,
5040-G,NCS,,#378656,
5040-G10Y,NCS,,#4b864d,
5040-G20Y,NCS,,#598646,
5040-G30Y,NCS,,#648641,
5040-G40Y,NCS,,#6e863d,
5040-G50Y,NCS,,#76863f,
5040-G60Y,NCS,,#7c8640,
5040-G70Y,NCS,,#838642,
5040-G80Y,NCS,,#868442,
5040-G90Y,NCS,,#867f41,
5040-R,NCS,,#862e34,
5040-R10B,NCS,,#86303a,
5040-R20B,NCS,,#863243,
5040-R30B,NCS,,#86354f,
5040-R40B,NCS,,#863960,
5040-R50B,NCS,,#863f78,
5040-R60B,NCS,,#6f3d86,
5040-R70B,NCS,,#583f86,
5040-R80B,NCS,,#324186,
5040-R90B,NCS,,#355086,
5040-Y,NCS,,#867c40,
5040-Y10R,NCS,,#86753f,
5040-Y20R,NCS,,#866f3d,
5040-Y30R,NCS,,#86683b,
5040-Y40R,NCS,,#866039,
5040-Y50R,NCS,,#865937,
5040-Y60R,NCS,,#865135,
5040-Y70R,NCS,,#864933,
5040-Y80R,NCS,,#864031,
5040-Y90R,NCS,,#863732,
5045-B10G,NCS,,#377286,
5500-N,NCS,,#727272,
5502-B,NCS,,#747779,
5502-G,NCS,,#747976,
5502-R,NCS,,#797272,
5502-Y,NCS,,#797875,
5540-B,NCS,,#366079,
5540-B10G,NCS,,#386879,
5540-B20G,NCS,,#396e79,
5540-B30G,NCS,,#3b7379,
5540-B40G,NCS,,#3c7779,
5540-B50G,NCS,,#3c7977,
5540-B80G,NCS,,#38796a,
5540-B90G,NCS,,#34795a,
5540-G,NCS,,#31794d,
5540-G10Y,NCS,,#437945,
5540-G20Y,NCS,,#50793f,
5540-G30Y,NCS,,#5a793b,
5540-G40Y,NCS,,#637937,
5540-G50Y,NCS,,#6a7938,
5540-G60Y,NCS,,#70793a,
5540-G70Y,NCS,,#76793b,
5540-R70B,NCS,,#4f3979,
5540-R90B,NCS,,#304879,
5540-Y90R,NCS,,#79322d,
6000-N,NCS,,#666666,
6005-B20G,NCS,,#636a6b,
6005-B80G,NCS,,#626b69,
6005-G20Y,NCS,,#656b63,
6005-G50Y,NCS,,#696b62,
6005-G80Y,NCS,,#6b6b63,
6005-R20B,NCS,,#6b5f61,
6005-R50B,NCS,,#6b636a,
6005-R80B,NCS,,#5f616b,
6005-Y20R,NCS,,#6b6862,
6005-Y50R,NCS,,#6b6560,
6005-Y80R,NCS,,#6b615e,
6010-B10G,NCS,,#5a676b,
6010-B30G,NCS,,#5b6a6b,
6010-B50G,NCS,,#5c6b6b,
6010-B70G,NCS,,#5b6b69,
6010-B90G,NCS,,#586b63,
6010-G10Y,NCS,,#5c6b5d,
6010-G30Y,NCS,,#636b5a,
6010-G50Y,NCS,,#676b5a,
6010-G70Y,NCS,,#6a6b5c,
6010-G90Y,NCS,,#6b6a5b,
6010-R10B,NCS,,#6b5356,
6010-R30B,NCS,,#6b565c,
6010-R50B,NCS,,#6b5a68,
6010-R70B,NCS,,#5f596b,
6010-R90B,NCS,,#565d6b,
6010-Y10R,NCS,,#6b675a,
6010-Y30R,NCS,,#6b6459,
6010-Y50R,NCS,,#6b5f57,
6010-Y70R,NCS,,#6b5a55,
6010-Y90R,NCS,,#6b5553,
6020-B,NCS,,#495e6b,
6020-B10G,NCS,,#4b636b,
6020-B30G,NCS,,#4d686b,
6020-B50G,NCS,,#4d6b6a,
6020-B70G,NCS,,#4c6b67,
6020-B90G,NCS,,#486b5b,
6020-G,NCS,,#456b54,
6020-G10Y,NCS,,#4f6b51,
6020-G30Y,NCS,,#5c6b4c,
6020-G50Y,NCS,,#646b4b,
6020-G70Y,NCS,,#6a6b4d,
6020-G90Y,NCS,,#6b684d,
6020-R,NCS,,#6b3f42,
6020-R10B,NCS,,#6b4045,
6020-R20B,NCS,,#6b424a,
6020-R30B,NCS,,#6b4451,
6020-R40B,NCS,,#6b4759,
6020-R50B,NCS,,#6b4c65,
6020-R60B,NCS,,#614a6b,
6020-R70B,NCS,,#564a6b,
6020-R80B,NCS,,#41496b,
6020-R90B,NCS,,#44516b,
6020-Y,NCS,,#6b674c,
6020-Y10R,NCS,,#6b644b,
6020-Y20R,NCS,,#6b614a,
6020-Y30R,NCS,,#6b5d49,
6020-Y40R,NCS,,#6b5a47,
6020-Y50R,NCS,,#6b5646,
6020-Y60R,NCS,,#6b5245,
6020-Y70R,NCS,,#6b4d43,
6020-Y80R,NCS,,#6b4841,
6020-Y90R,NCS,,#6b4441,
6030-B,NCS,,#3c596b,
6030-B10G,NCS,,#3e606b,
6030-B30G,NCS,,#40676b,
6030-B50G,NCS,,#416b6a,
6030-B70G,NCS,,#3f6b65,
6030-B90G,NCS,,#3a6b55,
6030-G,NCS,,#376b4c,
6030-G10Y,NCS,,#456b46,
